amfi_code,Sortino_Ratio
148567,2.385644373368817
120843,2.364320032166718
148569,2.146913926346055
119551,2.140267129061793
120505,2.029352940465747
149323,1.8751010639192083
118632,1.8501325468557261
100033,1.8291339615146935
120504,1.805293794099255
101206,1.799562874698451
119094,1.703797480246301
119598,1.6753165700125519
148568,1.6327409778735171
149324,1.6197931764914106
119552,1.6097764896283082
102885,1.4357420130649485
120503,1.3379431500669232
125497,1.3306512447571361
118633,1.1544757169236242
118635,1.137976718780742
120506,1.0958951614736474
102887,1.0887552508030016
120507,1.052123882260929
120841,0.8625738849916583
149322,0.7621288703723166
118634,0.746014630853357
125498,0.5088128197169234
101207,0.27664379626092345
119093,0.22108683979276356
120842,0.12469346986475677
119092,0.052573985593048045
119599,-0.09438726129459606
119095,-0.1281855927585192
120844,-0.1877230477424223
102886,-0.3472223025472726
100016,-0.35104746015230903
119120,-0.3767670081706666
118636,-0.6135251287271026
100025,-0.9418212366054203
101208,-1.6810378667512813
